model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"MLP2-run_6-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adamax-lo_mse",62.2647,0.0623,0.12256718,62.4418,0.8225,13.52067762851715,1.5077,5.8027,2.4089,0.0498,0.8579,0.8219,0.2098,20.9826,19.8717,0.1987,0.5309,0.8219,0.9505,0.9136,0.8684
"MLP2-run_6-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_nadam-lo_mse",64.8158,0.0648,0.0793736,64.9428,0.8311,13.825351181030273,1.5746,5.9489,2.439,0.0724,0.9705,0.8174,0.2238,22.3811,24.5465,0.2132,0.5544,0.8174,0.9473,0.9172,0.8689
"MLP2-run_7-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",58.3239,0.0583,0.07422447,58.4359,0.8124,13.50041401863098,1.5331,6.2275,2.4955,0.0482,0.7824,0.8089,0.217,21.6973,19.5703,0.2044,0.5398,0.8089,0.9461,0.9085,0.8595
"MLP2-run_7-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_rmsprop-lo_mse",61.2598,0.0613,0.13737392,61.4445,0.8086,13.473593702316283,1.6768,6.2628,2.5026,0.0688,1.0403,0.8078,0.2495,24.9548,25.0244,0.2355,0.5904,0.8078,0.9473,0.9081,0.8602
"MLP2-run_7-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adagrad-lo_mse",58.2857,0.0583,0.0892427,58.4133,0.8169,13.641175775527953,1.4466,5.972,2.4438,0.0425,0.7388,0.8167,0.1941,19.4061,18.4437,0.1851,0.5093,0.8167,0.9482,0.9098,0.8627
"MLP2-run_7-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adadelta-lo_mse",62.3231,0.0623,0.08044076,62.4431,0.8186,13.049591960906982,1.5185,5.9368,2.4366,0.0499,0.741,0.8178,0.2119,21.1917,19.7402,0.1998,0.5347,0.8178,0.9481,0.913,0.8656
"MLP2-run_7-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adam-lo_mse",61.0507,0.0611,0.08854389,61.175,0.8264,13.007501235008238,1.5334,5.6876,2.3849,0.0498,0.8872,0.8255,0.2211,22.1138,20.5979,0.2092,0.5399,0.8255,0.9506,0.9146,0.8694
"MLP2-run_7-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adamax-lo_mse",60.3943,0.0604,0.0531776,60.4891,0.821,13.683075656890868,1.5403,5.8976,2.4285,0.0549,0.9073,0.819,0.213,21.3022,21.5597,0.2028,0.5423,0.819,0.949,0.9141,0.8675
"MLP2-run_7-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_nadam-lo_mse",60.5309,0.0605,0.05263567,60.6102,0.8172,15.521845378875732,1.6843,7.1312,2.6704,0.0726,0.9396,0.7812,0.2297,22.9727,26.2252,0.2213,0.5931,0.7812,0.9342,0.9088,0.849
"MLP2-run_8-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",57.7669,0.0578,0.07356334,57.8874,0.82,13.981321506500244,1.4218,5.8663,2.422,0.0414,0.6907,0.82,0.1882,18.817,18.211,0.1799,0.5006,0.82,0.9498,0.9119,0.8661
